feature,overall_importance,strongest_class,strongest_class_coefficient
interest_coverage,3.3812038596916385,Low,3.3812038596916385
debt_to_equity,3.060371418384424,High,3.060371418384424
cash_usd_m,1.8499400886637485,Medium,-1.8499400886637485
governance_score_0_100,1.7882377723798912,Low,1.7882377723798912
net_debt_usd_m,1.5307442484264866,Low,-1.5307442484264866
equity_usd_m,1.3365977438172185,Low,1.3365977438172185
dscr,1.2796461322950408,Low,1.2796461322950408
capex_usd_m,1.04933649457129,Low,-1.04933649457129
years_in_operation,1.023396681017615,Low,-1.023396681017615
payment_incidents_12m,0.9699034974668331,Medium,0.9699034974668331
interest_expense_usd_m,0.9385493744509319,High,0.9385493744509319
ebit_margin_pct,0.8766017703129448,Low,0.8766017703129448
total_assets_usd_m,0.8558149611981823,Medium,0.8558149611981823
dio_days,0.8549832534983665,High,-0.8549832534983665
fx_revenue_pct,0.7754172261570231,Medium,-0.7754172261570231
hedging_policy_Partial,0.7667604909115284,High,-0.7667604909115284
covenant_quality_Weak,0.7554781995904626,High,-0.7554781995904626
revenue_usd_m,0.7410425329241552,Low,0.7410425329241552
ebitda_margin_pct,0.7217433678725405,Low,0.7217433678725405
hedging_policy_Comprehensive,0.7180741556502263,High,0.7180741556502263
legal_disputes_open,0.6888172177272686,Low,0.6888172177272686
collateral_coverage_pct,0.6683637716265767,Low,0.6683637716265767
sector_Technology,0.629058002974439,Medium,-0.629058002974439
country_Indonesia,0.6260872769854592,Medium,0.6260872769854592
country_Singapore,0.6212191446921563,Medium,-0.6212191446921563
industry_cyclicality_Low,0.6041935751390807,Medium,0.6041935751390807
sector_Materials,0.5969128977186625,Low,-0.5969128977186625
sector_Healthcare,0.589195248819386,Medium,0.589195248819386
country_Saudi Arabia,0.5617916861546474,Medium,0.5617916861546474
hedging_policy_<MISSING>,0.5216372809275728,High,-0.5216372809275728
fcf_usd_m,0.4970114545033897,Medium,-0.4970114545033897
auditor_tier_Big4,0.45380358373593693,Medium,0.45380358373593693
ownership_type_Public,0.44995716470374425,High,-0.44995716470374425
country_Italy,0.44777265842077985,High,0.44777265842077985
dso_days,0.4214757093542556,Medium,-0.4214757093542556
country_Japan,0.4150411070583299,Medium,0.4150411070583299
esg_controversies_3y,0.4132020725003698,High,-0.4132020725003698
sanctions_exposure_<MISSING>,0.3808331335220112,Medium,0.3808331335220112
sector_Media,0.37900055915787323,Medium,0.37900055915787323
country_South Africa,0.3743938021736225,High,0.3743938021736225
financials_audited_No,0.36990403189482735,Medium,0.36990403189482735
financials_audited_Yes,0.33961752472542106,Medium,0.33961752472542106
sanctions_exposure_Indirect,0.3286884230982369,Medium,0.3286884230982369
sector_Manufacturing,0.32462100719138015,Low,0.32462100719138015
ownership_type_Private,0.3158294661735705,Medium,0.3158294661735705
country_Turkey,0.3036431411570642,Low,0.3036431411570642
sector_Consumer Goods,0.2963487657718822,High,-0.2963487657718822
country_United Kingdom,0.2636935384353364,High,-0.2636935384353364
auditor_tier_Other,0.25571797288431086,Medium,0.25571797288431086
sector_Utilities,0.2554832443016911,Medium,0.2554832443016911
operating_cf_usd_m,0.25003808579117304,High,0.25003808579117304
sector_Energy,0.24614597312156528,Low,0.24614597312156528
covenant_quality_Standard,0.23763391203393858,Low,-0.23763391203393858
country_United Arab Emirates,0.23097484973709642,Medium,0.23097484973709642
country_China,0.23049892232663435,Low,0.23049892232663435
sector_Transportation,0.2284399240622882,Low,0.2284399240622882
sector_Chemicals,0.22391439327255536,Medium,0.22391439327255536
sector_Automotive,0.2092315127096154,Low,0.2092315127096154
country_Australia,0.20259916410936923,Low,0.20259916410936923
country_India,0.20128378153588272,High,-0.20128378153588272
sector_Pharmaceuticals,0.1901373905987264,Medium,0.1901373905987264
sector_Real Estate,0.18769337078420448,High,-0.18769337078420448
country_France,0.18729093115683432,Low,0.18729093115683432
current_ratio,0.1746366622099022,Medium,0.1746366622099022
quick_ratio,0.17419519634822536,High,-0.17419519634822536
revenue_cagr_3y_pct,0.16097769040574658,Low,-0.16097769040574658
dpo_days,0.1566948866475138,High,0.1566948866475138
country_Germany,0.1549249483161237,High,-0.1549249483161237
sector_Telecommunications,0.15097416260294078,Medium,0.15097416260294078
country_United States,0.1468490071887786,Low,0.1468490071887786
sector_Retail,0.13431523595734135,Low,0.13431523595734135
country_Brazil,0.12851679296393878,High,-0.12851679296393878
sector_Industrials,0.12567311765668823,High,-0.12567311765668823
covenant_quality_Strong,0.12519453651717624,Medium,0.12519453651717624
ownership_type_State,0.11252871479743982,Low,-0.11252871479743982
country_risk_0_100,0.11181276119786918,High,-0.11181276119786918
industry_cyclicality_Medium,0.10446884085187556,Medium,0.10446884085187556
country_Mexico,0.09943046686923875,High,-0.09943046686923875
country_Netherlands,0.09591403041024964,High,-0.09591403041024964
country_Canada,0.0757507294624552,High,-0.0757507294624552
industry_cyclicality_High,0.007245085203399166,High,-0.007245085203399166
